"","artist","title","Wonder","Transcendence","Nostalgia","Tenderness","Peacfulness","Joy","Power","Tension","Sadness","Sublimity","Vitality","Unease","ICC","Familiarity","Liking"
"1","Trailerpark","Schlechter Tag",15.65,19.68,3.54,5.3,5.08,22.33,2.35,11.2,0,18.5,21.15,10.5,0.65,2,3.17
"2","Desiigner","Panda",24.69,4.69,0.78,9.3,7.92,28.26,22.73,9.33,1.06,19.39,30.32,8.91,0.76,4.25,3.83
"3","NAS","Doo Rags",24.43,18.57,14.29,19.88,17.55,24.67,27.48,0,2.5,33.45,36.15,2.11,0.58,2.08,4
"4","DMX","X Gon' Give It To Ya",17.27,7.05,9.89,8.6,9.52,37.27,37.77,0,0.73,26.05,40.19,0.61,0.86,3.91,4.18
"5","Xatar","Meine Große Liebe",6.46,15.86,0,9.27,0.67,13.86,15.98,3.79,0,19.42,19.77,3.38,0.52,2,2.64
"6","Biggie Smalls","Hypnotize",26.12,12.94,20.89,7.75,17.32,24.72,13.8,7.35,0,30.68,23.21,6.89,0.53,3.58,3.83
"7","Salt-N-Pepa","Shoop",10.04,7.39,4.87,3.14,8.91,38.19,18.51,2.96,0,20.36,34.69,2.78,0.94,2.12,3.47
"8","Prinz Pi","Laura",6.54,5.02,6.95,4.6,8.44,3.58,8.01,13.6,9.5,16.56,8.89,16.73,0.17,1.24,2.18
"9","Black Eyed Peas","Where Is The Love",23.57,24.06,18.32,4.24,5.87,22.35,18.01,4.68,10.21,29.5,26.19,11.25,0.85,3.97,3.73
"10","Blumio","Lass Mal Über Haie Reden",6.31,6.55,1.5,3.6,7.13,24.99,17.83,14.38,2.22,16.55,25.45,15.03,0.84,1.22,2.7
"11","Cyne","One Day",8.49,5.35,5.16,4.76,11.32,26.94,19.01,5.96,0.49,16.6,27.11,5.75,0.85,1.36,3.29
"12","The Pharcyde","Passin' Me By",11.73,4.02,3.01,6.11,8.79,21.59,13.98,15.84,0,16.37,22.99,14.56,0.8,1.56,3.11
"13","Gucci Mane","Tone It Down",6.48,6.09,0,5.04,11.66,25.61,18.69,14.86,0.69,15.64,27.33,14.13,0.84,1.57,2.61
"14","Jay-Z","The Story Of OJ",10.57,7.65,7.34,6.28,19.78,19.27,12.15,12.52,1.98,22.78,20.72,12.64,0.64,1.57,2.54
"15","2Pac","All Eyez On Me",8.44,6.01,7.34,9.27,17.59,15.62,12.91,12.55,0.81,19.32,22.9,12.17,0.54,1.93,2.75
"16","K.I.Z.","Ein Affe und ein Pferd",7.31,4.99,2.45,4.32,6.83,21.43,20.86,26.66,0,16.94,25.25,23.53,0.88,2.53,2.43
"17","LL Cool J","Around The Way Girl",11.41,5.45,8.03,11.05,20.32,26.31,10.46,3.79,1.13,25.68,26.19,4.46,0.84,1.9,3
"18","Coolio","Gangsta's Paradise",18.56,9.36,15.15,1.2,7.3,41.13,33.96,5.71,0.69,24.84,40.98,5.92,0.95,3.97,3.87
"19","Cardi B","Bodak Yellow",6.4,4.7,0.99,2.57,4.34,28.91,25.86,9.67,0,13.16,33.25,8.91,0.93,3.32,3.13
"20","Killer Mike","A.D.I.D.A.S.",10.76,0.93,3.98,1.35,10.01,24.29,5.44,8.17,1.38,17.89,22.44,7.84,0.87,1.59,2.66
"21","Beginner","Füchse",11,8.61,4.7,1.7,17.55,26.09,10.16,6.1,3.03,22.96,24.89,8.01,0.86,1.71,3.13
"22","Scroobius Pip","Let 'Em Come",4.69,8.35,0.9,1.91,1.67,10.92,18.47,28.37,0,9.83,16.81,25.86,0.9,1.33,2.19
"23","SIDO","Fuffies Im Club",4.13,9.25,0.86,2.18,3.91,16.9,7.36,19.37,0.99,11.7,15.89,17.66,0.82,1.52,2.3
"24","Chance The Rapper","Summer Friends",1.32,4.04,4.14,5.33,11.39,15.17,2.97,11.17,0,14.1,14.72,10.35,0.72,1.3,2.33
"25","Twentyone Pilots","Lane Boy",10.76,7.93,1.53,0.64,7.08,16.68,20.92,4.43,2.34,18.59,22.98,6.13,0.84,1.9,2.97
"26","BBou","Kanona",7.54,3.64,2.05,5.52,2.5,8.79,9.29,10.68,1.66,11.31,12.54,10.01,0.43,1.55,2.21
"27","The Roots","You Got Me",13.37,6.01,17.76,13.37,14.37,5.36,7.31,5.37,10.14,26.4,9.56,13.42,0.52,2.31,3.1
"28","Kanye West","Touch The Sky",9.76,5.69,11.27,6,10.48,29.14,14.62,4.14,0.52,19.81,30.27,4.2,0.83,2.96,3.25
"29","Pharoahe Monch","Let's Go",5.1,7.72,2.54,0,8.46,16.68,13.39,8.93,0,10.8,18.9,8.09,0.7,1.46,2.39
"30","Eminem","Mockingbird",14.65,5.56,22.6,9.6,7.93,7.61,5.83,10.42,26.58,26.18,12.32,25.56,0.76,3.29,3.36
"31","Eminem","Rap God",18.78,14.83,9.07,6.1,4.96,23.83,21.32,17.4,3.09,27.43,27.86,16.25,0.72,3.33,3.26
"32","Freundeskreis","A-N-N-A",3.52,6.57,13.05,12.49,17.81,3.63,0,8.48,8.92,24.45,3.39,13.67,0.64,1.85,2.48
"33","Eminem","Lose Yourself",17.4,10.07,17.54,7.78,10.52,31.21,24.18,10.22,3.7,25.07,33.03,11.62,0.77,4.04,3.78
"34","Travis Scott","Antidote",7.13,6.66,4.9,2.61,6.7,26.95,14.43,10.8,0.77,17.86,29.96,9.92,0.85,2.42,2.9
"35","Kendrick Lamar","Cartoons & Cereal",7.92,10.46,3.23,0,2.81,18.6,10.32,22.04,3.01,16.17,19.2,22.44,0.84,1.65,2.45
"36","Kanye West","Runaway",8.32,1.64,6.76,7.1,8.67,16.82,3.95,14.91,5.16,20.87,15.56,17.65,0.59,1.84,2.58
"37","Jay-Z","99 Problems",5.23,4.71,3.61,0.78,8.72,26.32,24.08,11.34,0,11.98,29.55,10.31,0.94,2.52,2.77
"38","50 Cent","In Da Club",9.26,4.18,9.81,3.31,10.3,35.35,16.79,7.59,0,20.29,33.58,6.9,0.94,3.81,3.44
"39","Akua Naru","Poetry: How Does It Feel",11.91,7.95,10.65,18.35,27.33,5.21,3.57,6.35,1.46,26.68,6.99,6.69,0.91,1.35,2.88
"40","OutKast","B.O.B.",6.12,9.1,3.08,0.16,6.88,31.78,22.06,17.61,0.44,15.78,32.23,16.1,0.93,1.83,2.83
"41","Jedi Mind Tricks","Deathbed Doctrine",6.94,4.88,1.67,1.82,3.96,34.41,23.36,14.08,0,13.42,34.13,12.59,0.95,1.23,2.9
"42","Bushido","Leben Und Tod Des Kenneth Glöckler",11.44,11.64,1.17,1.02,5.08,15.84,26.01,13.29,0.71,16.5,26.03,12.63,0.88,1.5,2.63
"43","Beastie Boys","Fight For Your Right",12.72,4.7,10.34,1,1.95,26.83,22.87,18.68,0,13.74,26.04,16.72,0.88,2.52,3.04
"44","Action Bronson","Actin Crazy",6.14,5.44,1.25,1.06,13.22,15.14,12.43,17.16,0.96,13.58,16.97,14.81,0.74,1,2.56
"45","Immortal Technique","Leaving the past",10.94,13.31,10.3,2.09,7.96,11.57,6.81,12.37,11.6,21.33,12.17,19.29,0.07,1,2.64
"46","SSIO","Nullkommaneun",8.89,10.41,1.06,1.06,2.75,21.99,13.34,23.23,0,17.22,24.18,20.73,0.89,1.45,2.52
"47","Wu-Tang Clan","Da Mystery Of Chessboxin'",4.81,4.99,1.23,1.45,2.79,21.34,20.21,16.99,0,10.87,24.16,15.63,0.91,1.45,2.59
"48","Post Malone","Congratulations",10.36,3.63,14.12,4.36,16.95,26.87,16.19,7.6,1.64,22.85,26.33,8.33,0.86,3.05,3.38
"49","D-12","Fight Music",1.15,4.76,4.53,0,2.98,20.5,27.72,15.29,0,8.03,29.09,14.06,0.94,2.19,3.05
"50","Jurassic 5","Work It Out",6.52,8.43,8.3,5.95,14.53,28.71,11.39,7.98,0,23.71,25.77,7.2,0.88,1.19,3.08
"51","Logic","Black Spiderman",8.21,7.9,4.95,4.75,7.22,21.5,12.52,11.45,1.78,17.05,22.88,11.67,0.75,1.8,2.49
"52","Jay-Z","Hard Knock Life",11.67,8,12.47,11.9,11.44,22.45,9.07,7.38,3.06,26.16,22.28,9.09,0.65,3.43,3.29
"53","The Notorious B.I.G.","Juicy",10.78,8.22,8.71,5.3,13.6,20.12,11.28,4.14,1.56,23.7,20.88,5.05,0.72,2.23,2.91
"54","N.E.R.D","Lemon",5.52,1.94,3.12,1.98,1.24,18.62,15.43,12.77,0,9.29,21.4,11.77,0.83,1.75,2.58
"55","50 Cent","Candy Shop",7.23,1.94,12.66,15.27,4.45,33.57,20.87,3.15,0,22.91,33.39,2.95,0.91,3.88,3.5
"56","2Pac","Keep Ya Head Up",4.9,6.02,5.52,4.9,19.81,13.66,5.89,3.6,3.12,21.32,17.36,5.72,0.66,1.96,2.92
"57","Prinz Pi","Gib dem Affen Zucker",5.88,1.9,0,0,2.79,18.62,14.64,16.29,0,7.15,19.04,14.42,0.86,1.12,2.17
"58","Geto Boys","Mind Playing Tricks On Me",8.41,4.69,1.28,0,5.3,11.37,7.44,19.64,0.72,11.75,11.37,17.62,0.76,1.17,2.17
"59","NAS","If I Ruled The World (Imagine That)",7.63,11.36,4.68,1.55,9.66,17.4,14.57,8.6,0,17.45,18.21,7.87,0.71,1.52,2.65
"60","OutKast","Ms. Jackson",14.37,3.35,22.09,1.23,2.43,24.52,9.15,6.83,4.23,26.88,27.53,8.07,0.81,3.3,3.15
"61","Kendrick Lamar","i",4.42,4.05,0,1.11,2.15,17.99,9.28,14.25,0,7.66,19.37,12.89,0.78,1.63,2.42
"62","Kanye West","Gold Digger",14.46,2.6,14.93,3.46,7.06,41.97,22.45,5.93,0,20.98,37.68,5.48,0.95,4.12,3.76
"63","Max Herre","1Ste Liebe",4.51,3.43,8.71,7.96,12.27,12.99,0.6,11.04,0,17.22,12.31,10.07,0.73,1.18,2.32
"64","Future","Mask Off",10.72,3.11,6.93,3.3,3.42,20.98,16.74,12.13,1.75,15.52,21.11,12.4,0.82,2.74,2.68
"65","Ice Cube","It Was A Good Day",3.11,1.94,9.09,2.58,9.7,12.83,6,12.19,0,16.28,14.94,11.09,0.7,1.65,2.38
"66","eRRdeKa","EdoppelR",5.14,2.73,2.37,0,7.31,15.93,7.67,11.34,0.9,10.34,16.73,10.43,0.85,1.4,2.4
"67","Yung Hurn","Bianco",9.08,3.77,4.1,3.06,11.91,11.61,2.62,13.91,1.98,17.84,10.85,13.94,0.75,1.79,2.42
"68","Blackalicious","Alphabet Aerobics",14.55,8.98,1,0,6.22,24.12,18.33,16.79,0,15.76,24.72,15.09,0.9,1.58,2.82
"69","SSIO","Sim-Karte",6.03,5.25,3.54,0,6.04,20.07,17.06,14.6,0,13.19,22.96,13.27,0.85,1.75,2.66
"70","Drake","Too Much",10.2,9.21,14.72,9.67,13.7,11.79,11.45,7.57,5.1,23.09,14.76,10.61,-0.13,1.5,2.84
