artist,title,Wonder,Transcendence,Nostalgia,Tenderness,Peacfulness,Joy,Power,Tension,Sadness
Trailerpark,Schlechter Tag,1,1,0,1,0,1,0,1,0
Desiigner,Panda,1,0,0,1,1,1,1,1,1
NAS,Doo Rags,1,1,1,1,1,1,1,0,1
DMX,X Gon' Give It To Ya,1,1,1,1,1,1,1,0,1
Xatar,Meine Große Liebe,0,1,0,1,0,1,1,1,0
Biggie Smalls,Hypnotize,1,1,1,1,1,1,1,1,0
Salt-N-Pepa,Shoop,1,1,1,1,1,1,1,1,0
Prinz Pi,Laura,0,1,1,1,1,0,1,1,1
Black Eyed Peas,Where Is The Love,1,1,1,1,0,1,1,1,1
Blumio,Lass Mal Über Haie Reden,0,1,0,1,1,1,1,1,1
Cyne,One Day,1,1,1,1,1,1,1,1,1
The Pharcyde,Passin' Me By,1,0,0,1,1,1,1,1,0
Gucci Mane,Tone It Down,0,1,0,1,1,1,1,1,1
Jay-Z,The Story Of OJ,1,1,1,1,1,1,1,1,1
2Pac,All Eyez On Me,1,1,1,1,1,1,1,1,1
K.I.Z.,Ein Affe und ein Pferd,0,1,0,1,1,1,1,1,0
LL Cool J,Around The Way Girl,1,1,1,1,1,1,1,1,1
Coolio,Gangsta's Paradise,1,1,1,0,1,1,1,1,1
Cardi B,Bodak Yellow,0,0,0,1,0,1,1,1,0
Killer Mike,A.D.I.D.A.S.,1,0,0,0,1,1,1,1,1
Beginner,Füchse,1,1,1,0,1,1,1,1,1
Scroobius Pip,Let 'Em Come,0,1,0,0,0,0,1,1,0
SIDO,Fuffies Im Club,0,1,0,0,0,1,1,1,1
Chance The Rapper,Summer Friends,0,0,0,1,1,1,0,1,0
Twentyone Pilots,Lane Boy,1,1,0,0,1,1,1,1,1
BBou,Kanona,0,0,0,1,0,0,1,1,1
The Roots,You Got Me,1,1,1,1,1,0,1,1,1
Kanye West,Touch The Sky,1,1,1,1,1,1,1,1,1
Pharoahe Monch,Let's Go,0,1,0,0,1,1,1,1,0
Eminem,Mockingbird,1,1,1,1,1,0,1,1,1
Eminem,Rap God,1,1,1,1,0,1,1,1,1
Freundeskreis,A-N-N-A,0,1,1,1,1,0,0,1,1
Eminem,Lose Yourself,1,1,1,1,1,1,1,1,1
Travis Scott,Antidote,0,1,1,1,1,1,1,1,1
Kendrick Lamar,Cartoons & Cereal,0,1,0,0,0,1,1,1,1
Kanye West,Runaway,1,0,1,1,1,1,0,1,1
Jay-Z,99 Problems,0,0,0,0,1,1,1,1,0
50 Cent,In Da Club,1,0,1,1,1,1,1,1,0
Akua Naru,Poetry: How Does It Feel,1,1,1,1,1,0,0,1,1
OutKast,B.O.B.,0,1,0,0,1,1,1,1,1
Jedi Mind Tricks,Deathbed Doctrine,0,1,0,0,0,1,1,1,0
Bushido,Leben Und Tod Des Kenneth Glöckler,1,1,0,0,0,1,1,1,1
Beastie Boys,Fight For Your Right,1,0,1,0,0,1,1,1,0
Action Bronson,Actin Crazy,0,1,0,0,1,1,1,1,1
Immortal Technique,Leaving the past,1,1,1,0,1,1,1,1,1
SSIO,Nullkommaneun,1,1,0,0,0,1,1,1,0
Wu-Tang Clan,Da Mystery Of Chessboxin',0,1,0,0,0,1,1,1,0
Post Malone,Congratulations,1,0,1,1,1,1,1,1,1
