Unnamed: 0,Model,me,MAE,MSE,RMSE,Min,Max,model,y
0.0,allconv_01,0.65754926,5.15315,40.315105,6.3494177,-15.089526,11.240516,allconv_01,Wonder
,allconv_01,0.511157214641571,5.1646904945373535,39.00738906860352,6.245589733123779,-15.722149848937988,11.374069213867188,allconv_01,Wonder
,allconv_01,2.6757049560546875,4.133047580718994,25.78144645690918,5.077543258666992,-6.6911211013793945,14.012591361999512,allconv_01,Transcendence
,allconv_01,-3.8538312911987305,6.564441680908203,66.5507583618164,8.157864570617676,-20.764244079589844,9.182098388671877,allconv_01,Nostalgia
,allconv_01,5.527621746063232,6.9795918464660645,80.01171112060547,8.944926261901855,-13.535440444946287,26.40777969360352,allconv_01,Tenderness
,allconv_01,-1.4593199491500854,6.157423973083496,58.13522338867188,7.624645709991455,-22.28654289245605,11.769792556762695,allconv_01,Peacfulness
,allconv_01,-2.0161054134368896,6.929635524749756,85.91258239746094,9.268903732299805,-25.41194725036621,14.743227005004885,allconv_01,Joy
,allconv_01,3.7975361347198486,7.667418956756592,85.37153625488281,9.23967170715332,-30.02828788757324,17.70916175842285,allconv_01,Power
,allconv_01,2.6574649810791016,6.795619487762451,88.01092529296875,9.381413459777832,-26.81982040405273,35.64389419555664,allconv_01,Tension
,allconv_01,2.584813117980957,3.649566888809204,20.75099754333496,4.555326461791992,-15.808723449707031,7.585748195648193,allconv_01,Sadness
