Model,Labels,lr,ME,MAE,MSE,RMSE
transfer_learning,"['Wonder', 'Transcendence', 'Nostalgia', 'Tenderness', 'Peacfulness', 'Joy', 'Power', 'Tension', 'Sadness']",0.1,0.4338490664958954,5.962221145629883,60.77750778198242,7.496522903442383
allconv_02,"['Wonder', 'Transcendence', 'Nostalgia', 'Tenderness', 'Peacfulness', 'Joy', 'Power', 'Tension', 'Sadness']",0.1,-0.8544642329216003,5.945316314697266,63.77293014526367,7.623549461364746
allconv_02,['Wonder'],0.1,-0.5556350350379944,6.973354816436768,81.16657257080078,8.656766891479492
allconv_01_single,['Wonder'],0.1,-1.7701865434646606,6.980384826660156,85.30632781982422,8.77005386352539
allconv_01,"['Wonder', 'Transcendence', 'Nostalgia', 'Tenderness', 'Peacfulness', 'Joy', 'Power', 'Tension', 'Sadness']",0.1,-0.8782651424407959,5.516868591308594,57.41869354248047,7.268918991088867
transfer_learning,['Transcendence'],0.1,0.0244031213223934,4.207754611968994,26.028085708618164,5.101772785186768
allconv_02,['Transcendence'],0.1,0.139702096581459,3.1677494049072266,14.66592502593994,3.829611539840698
allconv_02,['Nostalgia'],0.1,3.1262011528015137,7.005565166473389,80.45938110351562,8.969915390014648
allconv_02,['Sadness'],0.1,0.5785155892372131,2.497057676315308,12.367181777954102,3.516700506210327
transfer_learning,['Sadness'],0.1,-0.3725339472293854,2.217153549194336,13.274954795837402,3.6434812545776367
allconv_01,['Sadness'],0.1,1.4706380367279053,3.088461399078369,15.312419891357422,3.9131088256835938
allconv_01,['Transcendence'],0.1,1.4118105173110962,3.953991174697876,23.01232147216797,4.797115802764893
allconv_01,['Wonder'],0.1,0.6818498969078064,4.777475833892822,33.594364166259766,5.796064376831055
