Model,Labels,lr,ME,MAE,MSE,RMSE,loss_function,dense_weight_alpha,batch size,snippet_duration_s
allconv_01,['Wonder'],0.1,0.7543004,5.132923,37.570393,6.1294694,MAE,0.0,50.0,29.98575963718821
allconv_01,['Wonder'],0.1,-2.133378028869629,5.187683582305908,48.096282958984375,6.935148239135742,MAE,0.0,40.0,29.98575963718821
allconv_01,['Wonder'],0.1,-0.6778175830841064,4.988193511962891,37.26372909545898,6.104402542114258,dense_weight,1.0,40.0,29.98575963718821
allconv_01,['Wonder'],0.1,1.0070374011993408,5.137898921966553,40.47543716430664,6.362030982971191,dense_weight,4.0,40.0,29.98575963718821
allconv_01,['Wonder'],0.1,2.6225993633270264,6.162912845611572,59.14273452758789,7.690431594848633,dense_weight,2.0,40.0,29.98575963718821
allconv_01,['Sadness'],0.1,2.149301528930664,3.5731658935546875,20.55014991760254,4.533227443695068,MAE,0.0,40.0,29.98575963718821
allconv_01,['Sadness'],0.1,0.9597244262695312,2.778432846069336,14.267973899841309,3.777297258377075,dense_weight,1.0,40.0,29.98575963718821
allconv_01,['Sadness'],0.1,2.8827645778656006,3.839094638824463,22.574037551879883,4.751214504241943,dense_weight,2.0,40.0,29.98575963718821
allconv_01,['Sadness'],0.1,2.987658977508545,4.011600971221924,21.21709251403809,4.606201648712158,dense_weight,4.0,40.0,29.98575963718821
allconv_01,['Tenderness'],0.1,2.886970043182373,5.692096710205078,49.08856964111328,7.006323337554932,MAE,0.0,40.0,29.98575963718821
allconv_01,['Tenderness'],0.1,9.193367958068848,9.653517723083496,129.10923767089844,11.362624168395996,dense_weight,1.0,40.0,29.98575963718821
allconv_01,['Tenderness'],0.1,3.562883377075196,6.2278971672058105,55.15495300292969,7.426638126373291,dense_weight,4.0,40.0,29.98575963718821
allconv_01,['Tenderness'],0.1,-0.1978664398193359,5.0049824714660645,36.38951873779297,6.03237247467041,dense_weight,2.0,40.0,29.98575963718821
allconv_02,['Tenderness'],0.1,0.5336084961891174,5.140863418579102,36.98124694824219,6.081220626831055,dense_weight,2.0,40.0,29.98575963718821
allconv_01,['Nostalgia'],0.1,3.940208196640015,7.802475452423096,88.76105499267578,9.421308517456056,dense_weight,2.0,40.0,29.98575963718821
allconv_01,['Nostalgia'],0.1,-1.189945101737976,5.423605918884277,47.72331619262695,6.908206462860107,MAE,0.0,40.0,29.98575963718821
