Model,Labels,lr,loss_function,dense_weight_alpha,batch size,data_augmentation,snippet_duration_s,oversampling,oversampling_tolerance,oversampling_ratio,oversampling_method,R2,ME,MAE,MSE,RMSE,Wonder MAE,Transcendence MAE,Nostalgia MAE,Tenderness MAE,Peacfulness MAE,Joy MAE,Power MAE,Tension MAE,Sadness MAE,Wonder RMSE,Transcendence RMSE,Nostalgia RMSE,Tenderness RMSE,Peacfulness RMSE,Joy RMSE,Power RMSE,Tension RMSE,Sadness RMSE
allconv_01,"['Wonder', 'Transcendence', 'Nostalgia', 'Tenderness', 'Peacfulness', 'Joy', 'Power', 'Tension', 'Sadness']",0.01,MAE,0.0,50,0,29.98575963718821,False,0.0,0,No oversampling,99.0,0.1221724897623062,4.710063457489014,40.67537689208984,6.15336799621582,5.006969451904297,3.3005599975585938,4.610440731048584,4.464245319366455,5.81220293045044,7.53983736038208,5.0532002449035645,4.496239185333252,2.1068782806396484,6.299590110778809,4.020954608917236,5.819514274597168,5.340294361114502,6.893469333648682,9.35626983642578,7.362249374389648,6.825716495513916,3.462250232696533
multitask_model,"['Wonder', 'Transcendence', 'Nostalgia', 'Tenderness', 'Peacfulness', 'Joy', 'Power', 'Tension', 'Sadness']",0.01,MAE,0.0,50,0,29.98575963718821,False,0.0,0,No oversampling,99.0,-1.2590421438217163,5.016672134399414,51.47281646728516,6.91986083984375,5.316042900085449,3.6586194038391113,5.624334335327148,4.4138007164001465,6.123306274414063,7.818274021148682,5.125368595123291,4.943721771240234,2.126577854156494,7.160182476043701,4.548850059509277,7.038530826568604,6.097075462341309,7.074388980865479,10.34663200378418,8.597888946533203,7.757350921630859,3.657848834991455
multitask_model,"['Wonder', 'Transcendence', 'Nostalgia', 'Tenderness', 'Peacfulness', 'Joy', 'Power', 'Tension', 'Sadness']",0.01,dense_weight,1.0,50,0,29.98575963718821,False,0.0,0,No oversampling,99.0,0.4511844217777252,5.352449893951416,49.25117492675781,6.911317825317383,4.975121021270752,4.570770740509033,6.244526386260986,5.167613506317139,6.014715194702148,6.381701469421387,5.83390474319458,5.07840633392334,3.905294418334961,6.27445650100708,5.579535961151123,8.044876098632812,6.736931324005127,7.098682880401611,8.572464942932129,8.370950698852539,6.834859848022461,4.689102649688721
allconv_01,"['Wonder', 'Transcendence', 'Nostalgia', 'Tenderness', 'Peacfulness', 'Joy', 'Power', 'Tension', 'Sadness']",0.01,dense_weight,1.0,50,0,29.98575963718821,False,0.0,0,No oversampling,99.0,0.6266903281211853,5.277554035186768,47.88282012939453,6.706164836883545,5.394996166229248,3.207487106323242,5.879876136779785,5.1741557121276855,6.376699924468994,6.708498001098633,6.597946643829346,5.285282611846924,2.873044967651367,6.874328136444092,3.932267189025879,7.422004222869873,6.009304523468018,7.321667671203613,8.801908493041992,8.593402862548828,7.58637809753418,3.814219951629639
multitask_model,"['Wonder', 'Transcendence', 'Nostalgia', 'Tenderness', 'Peacfulness', 'Joy', 'Power', 'Tension', 'Sadness']",0.01,dense_weight,2.0,50,0,29.98575963718821,False,0.0,0,No oversampling,99.0,1.0159506797790527,5.978493690490723,58.89555358886719,7.530854225158691,5.788990497589111,6.42659330368042,6.507689476013184,4.493785858154297,6.800642967224121,7.626368999481201,6.2486724853515625,5.304765701293945,4.608930587768555,7.156021595001221,7.819188117980957,7.948050498962402,5.653151988983154,8.326537132263184,10.444485664367676,8.480630874633789,6.625081539154053,5.324539661407471
allconv_01,"['Wonder', 'Transcendence', 'Nostalgia', 'Tenderness', 'Peacfulness', 'Joy', 'Power', 'Tension', 'Sadness']",0.01,dense_weight,2.0,50,0,29.98575963718821,False,0.0,0,No oversampling,99.0,-0.7337865829467773,6.181381702423096,65.55278778076172,7.892987728118896,6.776879787445068,3.9154772758483887,6.401552677154541,5.299213409423828,6.709359645843506,8.891801834106445,6.200174808502197,5.507928371429443,5.930047035217285,8.66005802154541,4.94918155670166,7.960986614227295,6.6712141036987305,8.60941219329834,11.705045700073242,8.791226387023926,7.335315704345703,6.354453086853027
multitask_model,"['Wonder', 'Transcendence', 'Nostalgia', 'Tenderness', 'Peacfulness', 'Joy', 'Power', 'Tension', 'Sadness']",0.01,dense_weight,3.0,50,0,29.98575963718821,False,0.0,0,No oversampling,99.0,-1.6510134935379028,7.253029823303223,93.76634979248048,9.12070083618164,6.3712992668151855,4.930434703826904,6.43522310256958,4.390274524688721,7.063264846801758,11.689505577087402,11.499337196350098,5.608471870422363,7.289453983306885,8.265737533569336,6.314984321594238,8.3275146484375,5.438486099243164,8.716507911682129,15.10358428955078,14.732897758483888,7.205544948577881,7.981054306030273
allconv_01,"['Wonder', 'Transcendence', 'Nostalgia', 'Tenderness', 'Peacfulness', 'Joy', 'Power', 'Tension', 'Sadness']",0.01,dense_weight,3.0,50,0,29.98575963718821,False,0.0,0,No oversampling,99.0,-0.1768409460783004,6.597363471984863,69.0298080444336,8.150620460510254,6.696953773498535,5.337870121002197,5.474730968475342,5.022173404693604,7.457672595977783,9.20229434967041,6.37206506729126,6.443197727203369,7.369312286376953,8.290406227111816,6.383570671081543,6.606292724609375,6.702980995178223,9.66333293914795,11.79544734954834,8.18325138092041,7.778416156768799,7.951882839202881
multitask_model,"['Wonder', 'Transcendence', 'Nostalgia', 'Tenderness', 'Peacfulness', 'Joy', 'Power', 'Tension', 'Sadness']",0.01,dense_weight,4.0,50,0,29.98575963718821,False,0.0,0,No oversampling,99.0,-3.038317918777466,6.904755115509033,84.21974182128906,8.752479553222656,7.941600799560547,4.537240028381348,7.619495391845703,4.583366394042969,8.769927024841309,10.96772289276123,7.05485725402832,5.886907577514648,4.781679630279541,10.068289756774902,5.416842937469482,9.681526184082031,5.604166507720947,10.814684867858888,13.999796867370604,9.707958221435549,8.169179916381836,5.309868335723877
allconv_01,"['Wonder', 'Transcendence', 'Nostalgia', 'Tenderness', 'Peacfulness', 'Joy', 'Power', 'Tension', 'Sadness']",0.01,dense_weight,4.0,50,0,29.98575963718821,False,0.0,0,No oversampling,99.0,-4.124653339385986,7.050761699676514,91.70018768310548,9.063152313232422,8.422390937805176,4.563292503356934,7.9262614250183105,4.5411906242370605,8.398127555847168,12.583250045776367,6.247243404388428,4.992692947387695,5.782405376434326,10.362100601196287,5.490203857421875,9.797433853149414,6.118982791900635,10.89437198638916,15.997713088989258,9.345991134643556,7.247044086456299,6.314525604248047
